task,model,modality,baseline_adjustment,normalization,baseline_duration,n_features,n_windows_train,n_windows_test,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean,auc_mean,best_window_accuracy,training_time_seconds
stress_classification,XGBoost,all,subtract,within_subject,full,87,3853.6,963.4,0.4934633251622441,0.02243861347240164,0.5023581607823013,0.5071168831168831,0.5026154712434974,0.5001860182869955,0.583941605839416,225.49523901939392
stress_classification,K-Nearest Neighbors,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.4854066334152024,0.0215974400959952,0.49315126971020595,0.492399999527014,0.49150673641262177,0.4785714095719055,0.5652173913043478,16.699391841888428
stress_classification,K-Nearest Neighbors,all,zscore,within_subject,last_90s,87,3853.6,963.4,0.5033918142924811,0.013132246451169916,0.5095409593536753,0.50368251288,0.5056641145018903,0.49479915037070227,0.6231884057971014,18.644901990890503
stress_classification,XGBoost,eeg,subtract,within_subject,full,77,3853.6,963.4,0.48897678524216703,0.03180007101299803,0.49935941068141537,0.5177805274030348,0.5060771674435111,0.49183580149354655,0.5797101449275363,230.4966104030609
stress_classification,Neural Network (MLP),physio,zscore,within_subject,last_90s,10,3853.6,963.4,0.5504915528319344,0.06051012447616372,0.5627313557866778,0.5754385798122483,0.564474619553204,0.579772268281507,0.644927536231884,35.62358593940735
stress_classification,Linear Discriminant Analysis,physio,zscore,within_subject,last_90s,10,3853.6,963.4,0.5864474032682022,0.09539928331728466,0.5986132177250194,0.597690324243725,0.5941628354567638,0.6263233580865943,0.6814814814814815,3.867720603942871
stress_classification,Linear Discriminant Analysis,all,zscore,within_subject,last_90s,87,3853.6,963.4,0.5570953925999581,0.05883558358828748,0.568507473355837,0.5748857868890648,0.5678132997863481,0.5965183281218511,0.6159420289855072,13.89496898651123
stress_classification,Linear Discriminant Analysis,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.5291526562742943,0.03445615818205277,0.5396732507842408,0.5487040491148658,0.5403609854863453,0.5570404963915236,0.6086956521739131,12.045127630233765
stress_classification,SVM,all,zscore,within_subject,last_90s,87,3853.6,963.4,0.5391104451931314,0.05328455060270754,0.5478892293489506,0.5611012201856234,0.5517510633492579,0.5485682372542324,0.6204379562043796,60.58929800987244
stress_classification,SVM,eeg,zscore,within_subject,last_90s,77,3853.6,963.4,0.49568963311737696,0.022677268347737055,0.506115917464645,0.527988099672339,0.5138343146622834,0.5011817344863994,0.5514705882352942,67.01573395729065
stress_classification,Random Forest,physio,zscore,within_subject,last_120s,10,3853.6,963.4,0.540529612657834,0.08306604904609229,0.5516668267637337,0.5758215140045241,0.5572073301512891,0.5564030102072388,0.6159420289855072,9.938575029373169
